name,serial,type,datawell_name,version,processingSource,sofar_token,utc_offset,timezone,DeployLoc,DeployDepth,DeployLat,DeployLon,UpdateTime,DataType,web_path,archive_path,website_filename,backup_path,datawell_datapath,time_cutoff,search_rad,send_alert_emails,alert_emails,wmo_id,wigos_id,process_aodn,send_aodn
JurienBayOffshore,SPOT-32304C,sofar,NA,smart_mooring,all,f6c01b0c9712e04c7f5f9bcdb5b694,8,Australia/Perth,JurienBayOffshore,40,-30.31545,114.9225833,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601883,0-22000-0-5601883,1,1
OceanBeach,SPOT-31905C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,8,Australia/Perth,OceanBeach,42,-35.04976,117.36475,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,190,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601874,0-22000-0-5601874,1,1
QuinnsDogBeach,SPOT-31896C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,8,Australia/Perth,QuinnsDogBeach,10,-31.65989,115.66463,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,,,0,0
TorbayWest,SPOT-31893C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,8,Australia/Perth,TorbayWest,32,-35.0689,117.76904,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601877,0-22000-0-5601877,1,1
YanchepLagoon,SPOT-31886C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,8,Australia/Perth,YanchepLagoon,10,-31.5545167,115.6215667,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,,,0,0
TIDE_SouthAfricaDrifting05,SPOT-0168,sofar,NA,V3,all,e0eb70b6d9e0b5e00450929139ea34,8,Australia/Perth,TIDE_SouthAfricaDrifting05,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,,,0,0
TIDE_SouthAfricaDrifting06,SPOT-1037,sofar,NA,V3,all,e0eb70b6d9e0b5e00450929139ea34,8,Australia/Perth,TIDE_SouthAfricaDrifting06,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,,,0,0
TIDE_SouthAfricaDrifting08,SPOT-31479C,sofar,NA,V3,all,e0eb70b6d9e0b5e00450929139ea34,8,Australia/Perth,TIDE_SouthAfricaDrifting08,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,,,0,0
TIDE_SouthAfricaDrifting09,SPOT-31553C,sofar,NA,V3,all,e0eb70b6d9e0b5e00450929139ea34,8,Australia/Perth,TIDE_SouthAfricaDrifting09,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,,,0,0
TIDE_SouthAfricaDrifting10,SPOT-31392C,sofar,NA,V3,all,e0eb70b6d9e0b5e00450929139ea34,8,Australia/Perth,TIDE_SouthAfricaDrifting10,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,,,0,0
MtEliza,SPOT-32657C,sofar,NA,V2,all,13b2d6f585d90406e7191f93e30f3e,10,Australia/Melbourne,MtEliza,17,-38.16299,145.05422,1,parameters,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,,,1,1
IndentedHead,SPOT-32664C,sofar,NA,V2,all,13b2d6f585d90406e7191f93e30f3e,10,Australia/Melbourne,IndentedHead,15,-38.13485,144.7524,1,parameters,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,3,300,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,,,1,1
Werribee,SPOT-1448,sofar,NA,V2,all,13b2d6f585d90406e7191f93e30f3e,10,Australia/Melbourne,Werribee,12,-37.98092,144.77645,1,parameters,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,,,1,1
DuttonWay,SPOT-31753C,sofar,NA,V2,all,13b2d6f585d90406e7191f93e30f3e,10,Australia/Melbourne,DuttonWay,18,-38.319933,141.65865,1,parameters,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,,,1,1
ApolloBay,SPOT-31129C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,10,Australia/Melbourne,ApolloBay,30,-38.7547,143.722833,1,spectral,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,5501867,0-22000-0-5501867,1,1
CapeBridgewater,SPOT-31941C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,10,Australia/Melbourne,CapeBridgewater,69,-38.36093,141.27398,1,spectral,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,3,320,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,5501868,0-22000-0-5501868,1,1
Central,SPOT-31719C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,10,Australia/Melbourne,Central,23,-38.06115,144.8674,1,spectral,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,3,320,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,5501869,0-22000-0-5501869,1,1
Inverloch,SPOT-31670C,sofar,NA,V3,all,13b2d6f585d90406e7191f93e30f3e,10,Australia/Melbourne,Inverloch,51,-38.76207,145.77436,1,parameters,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,3,200,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,,,1,1
PortFairy,SPOT-32751C,sofar,NA,V3,all,13b2d6f585d90406e7191f93e30f3e,10,Australia/Melbourne,PortFairy,28,-38.38228,142.2874,1,parameters,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,,,1,1
Sandringham,SPOT-1476,sofar,NA,V3,all,13b2d6f585d90406e7191f93e30f3e,10,Australia/Melbourne,Sandringham,16,-37.97895,144.99722,1,parameters,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,,,1,1
GoodrichBankDrift,SPOT-1292,sofar,NA,V2,all,e0eb70b6d9e0b5e00450929139ea34,9.5,Australia/Darwin,GoodrichBankDrift,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au,,,0,0
TIDE_SouthAfricaDrifting11,SPOT-30868C,sofar,NA,V3,all,e0eb70b6d9e0b5e00450929139ea34,8,Australia/Perth,TIDE_SouthAfricaDrifting11,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au,,,0,0
TIDE_SouthAfricaDrifting12,SPOT-31396C,sofar,NA,V3,all,e0eb70b6d9e0b5e00450929139ea34,8,Australia/Perth,TIDE_SouthAfricaDrifting12,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au,,,0,0
TIDE_SouthAfricaDrifting13,SPOT-31570C,sofar,NA,V3,all,e0eb70b6d9e0b5e00450929139ea34,8,Australia/Perth,TIDE_SouthAfricaDrifting13,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au,,,0,0
TIDE_SouthAfricaDrifting14,SPOT-31554C,sofar,NA,V3,all,e0eb70b6d9e0b5e00450929139ea34,8,Australia/Perth,TIDE_SouthAfricaDrifting14,0,0,0,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,nan,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au,,,0,0
CoralBay02,SPOT-32628C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,8,Australia/Perth,CoralBay02,30,-23.1554667,113.737082,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,200,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601875,0-22000-0-5601875,1,1
SharkBay02,SPOT-32626C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,8,Australia/Perth,SharkBay02,17,-25.4938333,113.0964167,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,200,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601876,0-22000-0-5601876,1,1
NorthKangarooIsland,SPOT-32385C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,9.5,Australia/Adelaide,NorthKangarooIsland,30,-35.56957,136.92632,1,spectral,E:\auswaves\sawaves,G:\auswaves\sawaves,buoys_sa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\sawaves,G:\waved,3,300,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;Paul.Malthouse@sa.gov.au;graziela.miotdasilva@flinders.edu.au;Mark.Doubell@sa.gov.au,5501870,0-22000-0-5501870,1,1
CygnetBay,SPOT-32379C,sofar,NA,smart_mooring,all,f6c01b0c9712e04c7f5f9bcdb5b694,8,Australia/Perth,CygnetBay,19,-16.5007167,123.0349833,1,parameters,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,190,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601880,0-22000-0-5601880,1,1
WilsonsPromDrift,SPOT-31910C,sofar,NA,V3,all,13b2d6f585d90406e7191f93e30f3e,10,Australia/Melbourne,WilsonsPromDrift,78,-39.5432833,146.46475,1,parameters,E:\auswaves\vicwaves,G:\auswaves\vicwaves,buoys_vic.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\vicwaves,G:\waved,0,0,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;daniel.ierodiaconou@deakin.edu.au;y.werner@deakin.edu.au,,,0,0
Hillarys,SPOT-32386C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,8,Australia/Perth,Hillarys,32,-31.8511157,115.6463145,1,spectral,E:\auswaves\wawaves,G:\auswaves\wawaves,buoys_wa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\wawaves,G:\waved,3,190,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;matt.hatcher@uwa.edu.au;carlin.bowyer@uwa.edu.au;carlin.alerts@outlook.com.au,5601873,0-22000-0-5601873,1,1
CollaroyNarrabeen,SPOT-32388C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,10,Australia/Sydney,CollaroyNarrabeen,12,-33.72683,151.30672,1,spectral,E:\auswaves\nswwaves,G:\auswaves\nswwaves,buoys_nsw.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\nswwaves,G:\waved,3,100,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;thomas.doyle@environment.nsw.gov.au;bradley.morris@environment.nsw.gov.au,5501871,0-22000-0-5501871,1,1
Tathra,SPOT-32629C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,10,Australia/Sydney,Tathra,30,-36.70872,150.00104,1,spectral,E:\auswaves\nswwaves,G:\auswaves\nswwaves,buoys_nsw.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\nswwaves,G:\waved,3,200,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;thomas.doyle@environment.nsw.gov.au;bradley.morris@environment.nsw.gov.au,5501872,0-22000-0-5501872,1,1
NorthHaven,SPOT-31916C,sofar,NA,V3,all,7d61dd647e6ef7724ee8f94a445201,9.5,Australia/Adelaide,NorthHave,7,-34.79798,138.48108,1,parameters,E:\auswaves\sawaves,G:\auswaves\sawaves,buoys_sa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\sawaves,G:\waved,3,190,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;Paul.Malthouse@sa.gov.au;graziela.miotdasilva@flinders.edu.au;Mark.Doubell@sa.gov.au,,,1,1
WestBeach,SPOT-31889C,sofar,NA,V3,all,7d61dd647e6ef7724ee8f94a445201,9.5,Australia/Adelaide,WestBeach,7,-34.953,138.489,1,parameters,E:\auswaves\sawaves,G:\auswaves\sawaves,buoys_sa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\sawaves,G:\waved,3,190,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;Paul.Malthouse@sa.gov.au;graziela.miotdasilva@flinders.edu.au;Mark.Doubell@sa.gov.au,,,1,1
Semaphore,SPOT-31913C,sofar,NA,V3,all,7d61dd647e6ef7724ee8f94a445201,9.5,Australia/Adelaide,Semaphore,7,-34.8529,138.35175,1,parameters,E:\auswaves\sawaves,G:\auswaves\sawaves,buoys_sa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\sawaves,G:\waved,3,190,0,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;Paul.Malthouse@sa.gov.au;graziela.miotdasilva@flinders.edu.au;Mark.Doubell@sa.gov.au,,,1,1
Brighton,SPOT-31877C,sofar,NA,V3,all,3492dc5f66a8fadca20aeb9c91ab00,9.5,Australia/Adelaide,Brighton,20,-35.0277093,138.450876,1,spectral,E:\auswaves\sawaves,G:\auswaves\sawaves,buoys_sa.csv,\\drive.irds.uwa.edu.au\OGS-COD-001\CUTTLER_wawaves\Data\auswaves_realtime_backup\sawaves,G:\waved,3,350,1,michael.cuttler@uwa.edu.au;thiago.caminha@uwa.edu.au;Paul.Malthouse@sa.gov.au;graziela.miotdasilva@flinders.edu.au;Mark.Doubell@sa.gov.au,5501881,0-22000-0-5501881,1,1
